date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:44	34092/34092	---MCZ	200	added ('OK')	font/ttf	etag:W/%22852c-5e70b50247313%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-regular-400.ttf	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-regular-400.ttf	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:44	144322/144322	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22233c2-5e70b50247313%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-regular-400.svg	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-regular-400.svg	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:46	194078/194078	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222f61e-5e70b50247313%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-solid-900.eot	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-solid-900.eot	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:47	194078/194078	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222f61e-5e70b50247313%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-solid-900.eot?	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-solid-900d41d.eot	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:48	76120/76120	---M--	200	added ('OK')	font/woff2	etag:%2212958-5e70b5024a1f3%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-solid-900.woff2	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-solid-900.woff2	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:49	99004/99004	---M--	200	added ('OK')	font/woff	etag:%22182bc-5e70b5024a1f3%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-solid-900.woff	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-solid-900.woff	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:50	193792/193792	---MCZ	200	added ('OK')	font/ttf	etag:W/%222f500-5e70b5024a1f3%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-solid-900.ttf	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-solid-900.ttf	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:52	278/278	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Nov%202023%2005:13:52%20GMT	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/images/ui-icons_444444_256x240.png	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/images/ui-icons_444444_256x240.png	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/jquery-ui.min.css?v=1.7)
10:43:52	849240/849240	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cf558-5e70b50249253%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-solid-900.svg	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/webfonts/fa-solid-900.svg	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/fonts.css?v=1.7)
10:43:53	278/278	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Nov%202023%2005:13:53%20GMT	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/images/ui-icons_555555_256x240.png	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/images/ui-icons_555555_256x240.png	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/jquery-ui.min.css?v=1.7)
10:43:53	278/278	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Nov%202023%2005:13:53%20GMT	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/images/ui-icons_ffffff_256x240.png	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/images/ui-icons_ffffff_256x240.png	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/jquery-ui.min.css?v=1.7)
10:43:54	278/278	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Nov%202023%2005:13:54%20GMT	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/images/ui-icons_777620_256x240.png	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/images/ui-icons_777620_256x240.png	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/jquery-ui.min.css?v=1.7)
10:43:54	278/278	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Nov%202023%2005:13:55%20GMT	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/images/ui-icons_cc0000_256x240.png	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/images/ui-icons_cc0000_256x240.png	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/jquery-ui.min.css?v=1.7)
10:43:55	278/278	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Nov%202023%2005:13:55%20GMT	https://dev.naxotop.com/project/video-editor-kDg5/v1/css/images/ui-icons_777777_256x240.png	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/css/images/ui-icons_777777_256x240.png	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/jquery-ui.min.css?v=1.7)
10:43:56	8476/8476	---M--	200	added ('OK')	image/gif	etag:%22211c-5e70b5024b193%22	https://dev.naxotop.com/project/video-editor-kDg5/v1/images/loading.gif	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/v1/images/loading.gif	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/lightbox.min.css?v=1.7)
10:43:56	278/278	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Nov%202023%2005:13:56%20GMT	https://dev.naxotop.com/project/video-editor-kDg5/images/scroll.png	D:/Brython-3.11.1/anything/dev.naxotop.com/project/video-editor-kDg5/images/scroll.png	(from https://dev.naxotop.com/project/video-editor-kDg5/v1/css/style.css?v=1.7)
